dt,cnt
2015-04-07,34313069
2015-04-08,34288217
2015-04-09,34293234
2015-04-10,34068492
2015-04-11,34088896
2015-04-12,34081478
2015-04-13,34167504
2015-04-14,34110013
2015-04-15,34052078
2015-04-16,34032633
2015-04-17,34001550
2015-04-18,34015282
2015-04-19,34029340
2015-04-20,34005571
2015-04-21,33952026
2015-04-22,33865992
2015-04-23,33822410
2015-04-24,33803151
2015-04-25,33816694
2015-04-26,33823549
2015-04-27,33806828
2015-04-28,33756594
2015-04-29,33681968
2015-04-30,33619992
2015-05-01,33527370
2015-05-02,33533384
2015-05-03,33529719
2015-05-04,33463728
2015-05-05,33394333
2015-05-06,33324266
2015-05-07,33244947
2015-05-08,33187403
2015-05-09,33156618
2015-05-10,33132747
2015-05-11,33082042
2015-05-12,33014007
2015-05-13,32927655
2015-05-14,32881455
2015-05-15,32843488
2015-05-16,32846444
2015-05-17,32863994
2015-05-18,32839114
2015-05-19,32784904
2015-05-20,32757477
2015-05-21,32732464
2015-05-22,32699275
2015-05-23,32708753
2015-05-24,32732275
2015-05-25,32768336
2015-05-26,32752188
2015-05-27,32711844
2015-05-28,32704632
2015-05-29,32691695
2015-05-30,32709447
2015-05-31,32735197
2015-06-01,32733329
2015-06-02,32702064
2015-06-03,32660001
2015-06-04,32642145
2015-06-05,32654488
2015-06-06,32660537
2015-06-07,32707874
2015-06-08,32745596
2015-06-09,32762591
2015-06-10,32768891
2015-06-11,32804568
2015-06-12,32829682
2015-06-13,32857424
2015-06-14,32888682
2015-06-15,32507718
2015-06-16,32927046
2015-06-17,32926141
2015-06-18,32954088
2015-06-19,32969637
2015-06-20,32940879
2015-06-21,32997463
2015-06-22,33016935
